"student_id" "female" "nonwhite" "rep" "mun_school" "math_prof" "math" "math_bl1" "math_bl2" "lp_prof" "lp" "lp_bl1" "lp_bl2"
"145" 3341471 0 1 0 0 -1.054582 8 3 5 -1.491914 9 4 5
"146" 4043367 0 0 0 0 -0.263951 12 7 5 -0.544459 14 7 7
"147" 4745940 0 1 1 0 -1.045036 9 3 6 -1.013112 10 5 5
"148" 4745941 0 0 0 0 -0.535638 9 4 5 -0.881347 12 8 4
"149" 4745942 1 1 0 0 -0.438775 11 5 6 -0.105042 13 6 7
"150" 155545 1 0 0 0 0.07998 16 6 10 1.604952 24 13 11
"151" 858639 1 0 0 0 1.52212 22 11 11 0.347575 18 9 9
"152" 858640 1 0 0 0 0.969459 22 11 11 -0.001725 15 8 7
"153" 858641 0 1 0 0 0.193824 19 10 9 -0.962527 9 5 4
"154" 858642 0 1 0 0 -1.154708 7 3 4 -1.993876 6 3 3
"155" 1562168 0 0 0 0 -1.134916 7 3 4 -1.580032 8 4 4
"156" 1562169 0 0 0 0 -0.422288 15 10 5 -1.969395 8 5 3
"157" 1562170 0 0 0 0 -0.54007 13 6 7 -0.914373 10 6 4
"158" 1562171 0 1 0 0 -1.572527 8 4 4 -0.898912 13 10 3
"159" 2263955 1 0 0 0 0.685004 18 10 8 0.68792 18 10 8
"160" 2263958 1 1 0 0 -0.003117 13 6 7 0.951524 22 10 12
"161" 2263959 1 0 0 0 -1.078337 10 6 4 -1.13437 9 5 4
"162" 2966006 0 0 0 0 -1.330966 12 7 5 -0.024662 14 8 6
"163" 2966007 1 0 0 0 -0.123522 14 7 7 1.611802 24 13 11
"164" 2966008 0 0 0 0 0.578181 18 8 10 -0.532491 14 7 7
"165" 2966009 1 0 0 0 1.417251 23 12 11 0.890205 24 11 13
"166" 3668726 1 1 0 0 0.420467 18 12 6 0.890138 22 12 10
"167" 3668728 1 0 0 0 -2.207584 5 3 2 -0.103316 16 7 9
"168" 3668729 0 0 0 0 -0.262733 13 6 7 -1.352484 10 5 5
"169" 3668730 0 0 0 0 -0.224412 11 9 2 -0.870276 12 9 3
"170" 4370081 0 1 0 0 -0.478324 14 7 7 -0.356843 14 9 5
"171" 4370082 0 1 0 0 1.300983 21 12 9 0.637911 20 9 11
"172" 4370083 1 0 0 0 -1.387223 10 7 3 -0.437165 14 10 4
"173" 4370084 1 0 0 0 -0.59817 11 5 6 -0.906222 11 5 6
"174" 4370085 0 1 0 0 -0.35261 13 6 7 -0.698895 12 6 6
"175" 4370086 0 0 0 0 -0.396375 13 6 7 -1.085347 10 7 3
"176" 5072747 1 1 0 0 -0.255038 14 8 6 -0.036746 15 8 7
"177" 5072748 1 0 0 0 -0.448543 10 3 7 -0.784114 11 5 6
"178" 5072749 0 0 0 0 -1.541761 8 6 2 -2.205725 3 1 2
"179" 439803 0 0 0 0 0.721611 17 11 6 0.534028 18 10 8
"180" 439804 1 0 0 0 -0.379207 12 7 5 -0.045454 18 10 8
"181" 439805 1 0 0 0 0.457938 19 11 8 -0.439912 14 8 6
"182" 1142879 0 0 0 0 1.179186 20 10 10 1.190625 22 11 11
"183" 1845864 0 0 0 0 0.527794 17 10 7 0.570064 19 10 9
"184" 1845865 0 0 0 0 0.56647 19 8 11 0.188979 15 8 7
"185" 1845867 1 1 0 0 0.897176 19 10 9 1.283337 23 13 10
"186" 2548058 1 0 0 0 0.752303 19 7 12 0.664162 21 12 9
"187" 2548059 1 1 0 0 0.268639 17 7 10 0.228639 17 9 8
"188" 2548061 1 0 0 0 -1.478062 5 3 2 -0.518243 11 5 6
"189" 2548062 0 0 0 0 0.725443 16 7 9 0.531772 19 9 10
"190" 2548065 1 1 0 0 -0.251783 13 7 6 -0.285801 16 10 6
"191" 3250753 0 0 0 0 1.488055 23 11 12 0.716838 18 9 9
"192" 3250755 0 0 0 0 -1.052922 8 5 3 -0.727277 11 6 5
"193" 3250756 0 0 0 0 0.089178 12 9 3 0.240633 16 9 7
"194" 3250757 0 0 0 0 0.705581 19 9 10 -0.012035 16 8 8
"195" 3250758 1 1 0 0 1.080799 22 11 11 1.978179 24 12 12
"196" 3952286 0 0 0 0 1.655652 23 12 11 0.481199 20 12 8
"197" 3952287 1 0 0 0 -0.606507 12 7 5 1.120985 22 11 11
"198" 3952288 1 0 0 0 -0.328262 11 4 7 0.515929 19 10 9
"199" 3952289 0 0 0 0 0.808896 21 10 11 0.020688 17 8 9
"200" 3952291 1 1 0 0 -0.062152 15 6 9 -0.50734 10 8 2
"201" 3952292 1 0 0 0 0.423512 19 9 10 0.710583 18 9 9
"202" 3952293 1 0 0 0 -0.065856 15 8 7 0.517113 19 12 7
"203" 4654482 0 0 0 0 -1.083813 8 4 4 -0.497033 13 8 5
"204" 4654483 1 1 0 0 0.576196 17 9 8 0.259185 18 11 7
"205" 4654484 0 0 0 0 0.308452 15 8 7 0.667471 18 8 10
"206" 4654485 1 0 0 0 0.585348 19 11 8 0.041783 16 7 9
"207" 261281 1 0 0 0 0.556001 19 11 8 0.644292 20 12 8
"208" 965135 1 0 0 0 0.56591 18 7 11 0.703832 19 9 10
"209" 965137 1 0 0 0 1.033925 19 12 7 1.004072 21 11 10
"210" 965138 0 0 0 0 -0.245067 13 9 4 -1.912077 4 4 0
"211" 1668712 1 0 0 0 -0.267355 11 6 5 0.142952 16 9 7
"212" 1668713 0 0 0 0 1.136359 22 11 11 0.389606 19 10 9
"213" 1668716 0 1 0 0 -0.259901 14 9 5 -0.611031 13 6 7
"214" 1668717 1 0 0 0 1.171401 20 10 10 1.11424 22 11 11
"215" 1668718 0 0 0 0 -0.097427 16 7 9 -1.29868 6 4 2
"216" 1668719 0 0 0 0 0.736419 20 12 8 -0.473239 14 6 8
"217" 2370160 0 0 0 0 0.129435 18 8 10 -0.524137 13 6 7
"218" 2370161 0 0 0 0 -0.285272 14 8 6 -0.881021 11 9 2
"219" 2370162 0 1 0 0 0.217993 15 8 7 0.581153 19 10 9
"220" 2370163 1 1 0 0 -1.538148 6 4 2 -0.890906 11 6 5
"221" 2370164 0 1 0 0 1.18029 19 9 10 1.117546 22 10 12
"222" 2370165 0 0 0 0 0.205157 17 9 8 0.928281 21 12 9
"223" 3071998 1 0 0 0 -0.330392 12 7 5 0.583855 20 8 12
"224" 3071999 0 0 0 0 1.474549 24 12 12 0.164327 18 9 9
"225" 3774755 0 0 1 0 0.673241 19 10 9 -0.235217 13 9 4
"226" 3774756 1 0 0 0 0.547431 21 12 9 0.361634 18 8 10
"227" 3774758 1 0 0 0 0.585694 18 10 8 1.11018 21 10 11
"228" 4476452 0 1 0 0 1.144781 22 10 12 0.387107 19 8 11
"229" 4476453 1 1 0 0 -0.073567 14 8 6 -0.962145 10 7 3
"230" 4476455 1 0 0 0 2.089242 24 11 13 0.671138 22 11 11
"231" 5178661 1 0 0 0 -0.504944 11 6 5 -0.062437 16 9 7
"232" 5178662 1 1 0 0 1.103617 19 9 10 0.633156 20 11 9
"233" 5178663 1 0 0 0 -0.474178 11 6 5 0.67082 20 11 9
"234" 272499 1 1 0 0 -0.734353 10 6 4 -0.10909 16 7 9
"235" 272500 0 0 0 0 1.606208 23 11 12 0.980313 22 10 12
"236" 272501 0 0 0 0 0.075201 16 9 7 1.256625 22 10 12
"237" 272502 0 0 0 0 1.567345 24 12 12 1.541525 24 13 11
"238" 272503 0 0 0 0 0.317119 19 12 7 -1.301251 8 4 4
"239" 272504 0 0 0 0 0.486064 17 9 8 0.786803 20 9 11
"240" 976113 1 0 0 0 -0.004332 14 7 7 -0.037467 16 8 8
"241" 976114 0 0 0 0 -0.419763 13 8 5 -0.111221 15 9 6
"242" 976115 0 1 0 0 -0.014591 15 9 6 -1.131803 11 6 5
"243" 1679518 0 1 0 0 -0.832797 10 4 6 -0.765524 12 9 3
"244" 1679519 0 0 0 0 -0.07997 13 8 5 -0.400366 14 8 6
"245" 1679520 1 0 0 0 0.420048 18 10 8 -0.520653 15 3 12
"246" 2381094 1 0 0 0 1.089414 23 12 11 -0.265301 15 10 5
"247" 2381095 0 0 0 0 -0.47618 11 5 6 0.44803 17 8 9
"248" 3083084 0 0 0 0 -1.42166 4 3 1 -1.253374 10 6 4
"249" 3083085 1 1 0 0 -0.238874 13 7 6 -1.127931 10 6 4
"250" 3785568 1 0 0 0 0.269127 19 9 10 -0.026114 18 11 7
"251" 3785569 0 0 0 0 -0.047843 14 9 5 0.09034 15 9 6
"252" 3785570 0 1 1 0 -1.761762 7 2 5 -1.771697 4 2 2
"253" 4487326 1 0 0 0 1.531244 22 11 11 0.492035 19 10 9
"254" 4487327 1 1 0 0 -0.600377 11 6 5 -0.355815 16 8 8
"255" 4487329 1 1 0 0 -0.977237 10 5 5 -0.567756 12 5 7
"256" 4487330 1 0 0 0 -0.714719 11 8 3 -0.356348 13 6 7
"257" 4487331 0 0 0 0 0.499354 17 10 7 0.834688 20 10 10
"258" 4487332 1 0 0 0 -0.030045 15 9 6 1.297407 22 12 10
"259" 5189752 0 1 0 0 0.252457 16 5 11 -0.790426 11 7 4
"260" 5189753 1 0 0 0 1.705967 24 13 11 1.268361 23 11 12
"261" 5189754 0 0 0 0 -0.854306 10 7 3 -0.288819 14 7 7
"262" 5189755 0 1 0 0 -0.391301 11 8 3 -0.707896 12 5 7
"263" 5189756 1 1 1 0 0.260021 16 7 9 0.561736 19 10 9
"264" 5189757 1 1 0 0 0.142027 14 7 7 -2.007255 4 3 1
"265" 5189758 0 1 0 0 -0.895863 12 5 7 -0.059378 16 10 6
"266" 5189759 1 0 0 0 0.679779 19 11 8 0.23028 16 9 7
"267" 1164353 0 1 1 0 0.18713 18 8 10 -0.818693 12 4 8
"268" 1164355 0 1 0 0 1.128419 23 11 12 -0.228357 15 6 9
"269" 1164356 1 0 0 0 0.380124 17 9 8 -0.11082 16 10 6
"270" 1164357 0 0 0 0 0.764733 18 7 11 1.570753 24 12 12
"271" 1164358 1 1 0 0 -0.193771 14 7 7 0.25873 17 9 8
"272" 1867042 1 1 1 0 -1.264549 7 6 1 -1.421992 9 6 3
"273" 1867043 0 1 0 0 -0.733764 10 4 6 0.175412 16 8 8
"274" 1867044 0 0 0 0 0.777519 21 11 10 0.504155 19 10 9
"275" 1867045 0 0 0 0 0.531605 18 10 8 0.547313 18 9 9
"276" 2569450 0 1 0 0 0.261819 15 4 11 -0.779128 10 7 3
"277" 2569451 1 1 0 0 0.825176 21 9 12 0.774135 19 9 10
"278" 2569452 0 0 0 0 -0.092188 12 4 8 0.182643 17 8 9
"279" 3272057 0 1 1 0 -0.500663 9 5 4 -0.934188 11 6 5
"280" 3272058 1 0 0 0 0.766901 20 9 11 0.964648 21 11 10
"281" 3272059 1 0 0 0 1.127413 23 12 11 0.808487 21 12 9
"282" 4675930 0 1 1 0 -0.547736 11 5 6 -0.471009 13 7 6
"283" 4675931 1 1 1 0 -0.296281 13 6 7 -0.34164 15 8 7
"284" 4675932 1 0 0 0 0.382991 16 9 7 0.679064 20 10 10
"285" 4675933 0 0 0 0 -0.120329 15 7 8 -0.220604 13 6 7
"286" 5377508 1 0 0 0 0.686616 19 8 11 0.871685 21 11 10
"287" 5377509 1 1 1 0 -1.416713 6 2 4 -1.172503 7 4 3
"288" 5377511 0 1 1 0 -0.872463 8 6 2 -0.874182 9 8 1
"289" 5377512 1 0 0 0 0.423904 15 9 6 0.760462 20 10 10
"290" 518787 0 0 0 0 1.029212 22 10 12 0.427903 18 9 9
"291" 518788 0 1 0 0 0.612891 17 8 9 1.057381 23 12 11
"292" 518789 0 0 0 0 -0.206393 12 6 6 -0.439447 12 5 7
"293" 518790 0 0 0 0 0.504032 16 6 10 -0.059409 16 9 7
"294" 518791 0 1 1 0 -0.304175 13 7 6 -0.079507 13 7 6
"295" 518792 1 0 0 0 -0.231438 14 9 5 -1.126707 7 4 3
"296" 1222069 1 0 1 0 -1.608181 7 2 5 -1.738556 6 5 1
"297" 2627399 0 1 1 0 0.200907 17 6 11 -0.361632 15 7 8
"298" 2627400 0 1 1 0 0.939193 18 10 8 0.263795 16 8 8
"299" 2627402 0 0 0 0 1.026223 21 11 10 0.149543 18 8 10
"300" 3329735 0 1 1 0 -0.732938 11 7 4 0.032511 17 9 8
"301" 3329736 0 1 1 0 0.875294 19 9 10 -0.295668 14 7 7
"302" 3329737 1 0 0 0 0.891464 22 11 11 0.727507 21 9 12
"303" 4031447 0 0 0 0 0.176108 15 7 8 -0.573188 13 4 9
"304" 4031448 0 0 0 0 0.841617 20 9 11 0.617681 20 11 9
"305" 4031449 1 0 0 0 2.169435 24 13 11 1.133878 23 12 11
"306" 4031450 0 1 0 0 -0.472423 13 4 9 -0.554828 13 7 6
"307" 4734012 1 1 0 0 0.286242 15 9 6 0.626462 19 9 10
"308" 4734013 1 0 0 0 0.650403 19 8 11 -0.216119 14 7 7
"309" 5434740 0 0 1 0 0.263629 17 8 9 -0.414892 13 9 4
